Date and time;Alarm;Status
13/06/2022 10:49:51;Sensor #26 module error;ON
13/06/2022 10:49:51;Sensor #26 Low Supercapacitor voltage;ON
13/06/2022 10:49:51;Sensor #25 module error;ON
13/06/2022 10:49:51;Sensor #25 Low Supercapacitor voltage;ON
13/06/2022 10:49:50;Sensor #24 module error;ON
13/06/2022 10:49:50;Sensor #24 Low Supercapacitor voltage;ON
13/06/2022 10:49:50;Sensor #23 module error;ON
13/06/2022 10:49:50;Sensor #23 Low Supercapacitor voltage;ON
13/06/2022 10:49:50;Sensor #22 module error;ON
13/06/2022 10:49:50;Sensor #22 Low Supercapacitor voltage;ON
13/06/2022 10:49:50;Sensor #21 module error;ON
13/06/2022 10:49:50;Sensor #21 Low Supercapacitor voltage;ON
13/06/2022 10:49:50;Sensor #20 module error;ON
13/06/2022 10:49:50;Sensor #20 Low Supercapacitor voltage;ON
13/06/2022 10:49:50;Sensor #19 module error;ON
13/06/2022 10:49:49;Sensor #19 Low Supercapacitor voltage;ON
13/06/2022 10:49:49;Sensor #18 module error;ON
13/06/2022 10:49:49;Sensor #18 Low Supercapacitor voltage;ON
13/06/2022 10:49:49;Sensor #17 module error;ON
13/06/2022 10:49:49;Sensor #17 Low Supercapacitor voltage;ON
13/06/2022 10:49:49;Sensor #16 module error;ON
13/06/2022 10:49:49;Sensor #16 Low Supercapacitor voltage;ON
13/06/2022 10:49:49;Sensor #15 module error;ON
13/06/2022 10:49:49;Sensor #15 Low Supercapacitor voltage;ON
13/06/2022 10:49:49;Sensor #14 module error;ON
13/06/2022 10:49:49;Sensor #14 Low Supercapacitor voltage;ON
13/06/2022 10:49:48;Sensor #13 module error;ON
13/06/2022 10:49:48;Sensor #13 Low Supercapacitor voltage;ON
13/06/2022 10:49:48;Sensor #12 module error;ON
13/06/2022 10:49:48;Sensor #12 Low Supercapacitor voltage;ON
13/06/2022 10:49:48;Sensor #11 module error;ON
13/06/2022 10:49:48;Sensor #11 Low Supercapacitor voltage;ON
13/06/2022 10:49:48;Sensor #10 module error;ON
13/06/2022 10:49:48;Sensor #10 Low Supercapacitor voltage;ON
13/06/2022 10:49:48;Sensor #9 module error;ON
13/06/2022 10:49:48;Sensor #9 Low Supercapacitor voltage;ON
13/06/2022 10:49:48;Sensor #8 module error;ON
13/06/2022 10:49:48;Sensor #8 Low Supercapacitor voltage;ON
13/06/2022 10:49:47;Sensor #7 module error;ON
13/06/2022 10:49:47;Sensor #7 Low Supercapacitor voltage;ON
13/06/2022 10:49:47;Sensor #6 module error;ON
13/06/2022 10:49:47;Sensor #6 Low Supercapacitor voltage;ON
13/06/2022 10:49:47;Sensor #5 module error;ON
13/06/2022 10:49:47;Sensor #5 Low Supercapacitor voltage;ON
13/06/2022 10:49:47;Sensor #4 module error;ON
13/06/2022 10:49:47;Sensor #4 Low Supercapacitor voltage;ON
13/06/2022 10:49:47;Sensor #3 module error;ON
13/06/2022 10:49:47;Sensor #3 Low Supercapacitor voltage;ON
13/06/2022 10:49:47;Sensor #2 module error;ON
13/06/2022 10:49:46;Sensor #2 Low Supercapacitor voltage;ON
13/06/2022 10:49:46;Sensor #1 module error;ON
13/06/2022 10:49:46;Sensor #1 Low Supercapacitor voltage;ON
13/06/2022 10:49:16;Last sensor or Gateway Communication error;ON
13/06/2022 10:46:36;Sensor #50 test button pressed;OFF
13/06/2022 10:46:34;Sensor #18 test button pressed;OFF
13/06/2022 10:46:06;Sensor #50 test button pressed;ON
13/06/2022 10:46:05;Sensor #47 High Supercapacitor voltage;OFF
13/06/2022 10:46:03;Sensor #18 test button pressed;ON
13/06/2022 10:45:35;Sensor #47 High Supercapacitor voltage;ON
13/06/2022 10:45:03;Sensor #33 Low Supercapacitor voltage;OFF
13/06/2022 10:44:33;Sensor #33 Low Supercapacitor voltage;ON
13/06/2022 10:11:32;Sensor #34 Low Supercapacitor voltage;OFF
13/06/2022 10:11:32;Sensor #34 module error;OFF
13/06/2022 10:11:32;Sensor #33 Low Supercapacitor voltage;OFF
13/06/2022 10:11:32;Sensor #33 module error;OFF
13/06/2022 10:11:32;Sensor #32 Low Supercapacitor voltage;OFF
13/06/2022 10:11:32;Sensor #32 module error;OFF
13/06/2022 10:11:31;Sensor #31 Low Supercapacitor voltage;OFF
13/06/2022 10:11:31;Sensor #31 module error;OFF
13/06/2022 10:11:31;Sensor #30 Low Supercapacitor voltage;OFF
13/06/2022 10:11:31;Sensor #30 module error;OFF
13/06/2022 10:11:31;Sensor #29 Low Supercapacitor voltage;OFF
13/06/2022 10:11:31;Sensor #29 module error;OFF
13/06/2022 10:11:31;Sensor #28 Low Supercapacitor voltage;OFF
13/06/2022 10:11:31;Sensor #28 module error;OFF
13/06/2022 10:11:31;Sensor #27 Low Supercapacitor voltage;OFF
13/06/2022 10:11:31;Sensor #27 module error;OFF
13/06/2022 10:11:31;Sensor #26 Low Supercapacitor voltage;OFF
13/06/2022 10:11:31;Sensor #26 module error;OFF
13/06/2022 10:11:30;Sensor #25 Low Supercapacitor voltage;OFF
13/06/2022 10:11:30;Sensor #25 module error;OFF
13/06/2022 10:11:30;Sensor #24 Low Supercapacitor voltage;OFF
13/06/2022 10:11:30;Sensor #24 module error;OFF
13/06/2022 10:11:30;Sensor #23 Low Supercapacitor voltage;OFF
13/06/2022 10:11:30;Sensor #23 module error;OFF
13/06/2022 10:11:30;Sensor #22 Low Supercapacitor voltage;OFF
13/06/2022 10:11:30;Sensor #22 module error;OFF
